C,accuracy,precision,recall,f1,roc_auc,average_precision
0.01,0.2720613641075254,0.06667850483885288,0.9715394566623544,0.12479228979727484,0.7385713856679581,0.1329311553521873
0.1,0.36853016377582754,0.07264738939409421,0.9197930142302717,0.13465909090909092,0.7339272199017921,0.13239680543018517
1.0,0.5481307442471149,0.08034934497816594,0.7141009055627425,0.14444589820751014,0.6891639783864727,0.1100185053830947
10.0,0.6109460299910165,0.07684265551489806,0.5705045278137129,0.13544226044226043,0.6558977741436649,0.09508767370332757
100.0,0.6161979130675144,0.0754750488367963,0.5498059508408797,0.13272954403497814,0.6436725921216437,0.0916201656052767
