Model,Accuracy,Precision,Recall,F1,ROC-AUC,Average Precision
Logistic Regression,0.3488,0.0799,0.8412,0.1459,0.612,0.1031
XGBoost,0.8393449419568823,0.0643312101910828,0.10553814002089865,0.07993668381480015,0.525330614886281,0.07093122697821504
