max_depth,learning_rate,n_estimators,accuracy,precision,recall,f1,roc_auc,average_precision
7,0.1,200,0.8877064473775137,0.18584070796460178,0.3260025873221216,0.23673085955847817,0.7423821987402623,0.17216214175093073
5,0.1,100,0.85467486697533,0.1627789046653144,0.4152652005174644,0.23387978142076501,0.7458186925240216,0.1653627894286905
7,0.1,100,0.8756132955566305,0.17396825396825397,0.35446313065976714,0.23339011925042588,0.7434047179624338,0.17043085289685153
7,0.05,100,0.8754750881072489,0.17333333333333334,0.35316946959896506,0.23253833049403747,0.7449290998563165,0.1644420563620009
5,0.1,200,0.8630364176629121,0.16509695290858725,0.3855109961190168,0.23118696664080682,0.7460124394700164,0.16655046296376294
7,0.05,200,0.8817635270541082,0.17699724517906337,0.33247089262613194,0.23101123595505618,0.7462987391857283,0.1646618378651398
5,0.05,200,0.8675281597678115,0.16627771295215868,0.36869340232858994,0.22919179734620024,0.7364296390234208,0.1581367251279021
5,0.05,100,0.8475571833321816,0.15302663438256658,0.4087968952134541,0.222692036645525,0.7316597714853227,0.15597332910118372
3,0.1,200,0.826065924953355,0.14262295081967213,0.4501940491591203,0.2166199813258637,0.7487312715220604,0.1571905336281646
3,0.05,200,0.7981480201782876,0.13519021739130435,0.5148771021992238,0.21415119720204465,0.751175845162616,0.15630629366887266
3,0.1,100,0.7828069932969387,0.13130056004978222,0.5459249676584734,0.21168798595435165,0.742615233392586,0.15488105080739073
3,0.05,100,0.7537834289268192,0.12009803921568628,0.5705045278137129,0.1984251968503937,0.7323092463805728,0.1480095327529391
